18 -15 -18 -16 21 17 -18 21 -9 -22 -7 -2 -13 15 21 11 -18 20 1 14 23 -2 -9 9 -12 -20 11 
15 9 -19 -6 -6 -11 -3 19 -20 0 13 5 21 2 -18 -16 0 0 6 0 -10 -18 10 2 -12 -14 -7 
-1 24 22 -2 17 24 1 -22 19 -5 -21 -2 11 -5 2 -10 -19 -17 11 20 0 -10 -8 3 -12 -18 -17 
-19 -12 18 12 -2 0 -2 -13 -2 -1 -11 -6 -14 3 -10 -11 6 0 5 18 -18 -11 24 17 -19 15 1 
-6 -17 10 -13 13 -11 -19 10 0 8 -6 0 -2 9 -2 -8 15 -15 23 10 21 -10 11 0 13 -8 5 
-14 14 -5 -17 18 -22 9 0 -5 23 20 15 -22 22 -2 -8 6 -1 -15 1 -2 -20 -23 12 12 -7 12 
5 0 3 22 -16 22 18 -22 -23 -21 2 4 -20 -24 -14 -9 -16 23 13 19 15 -6 18 20 -5 -11 -3 
-3 -22 -10 20 7 -19 -15 -4 0 15 3 18 19 10 0 0 14 -2 -12 17 11 -7 -18 0 12 24 -5 
-23 11 4 -22 -23 19 17 -11 -12 17 -2 21 -6 -9 -21 16 11 -10 -2 -8 20 -3 19 -4 4 10 -1 
-10 -6 0 -11 2 22 -17 -3 -3 10 -23 6 -5 25 17 -5 18 -2 -5 -1 -3 19 1 -9 -22 16 -9 
-6 -5 -3 -22 -20 5 -11 1 -20 -3 9 -20 -13 -8 1 22 11 1 16 -23 2 21 -14 17 0 -14 15 
-4 10 -19 18 2 17 10 5 17 21 15 -23 6 -14 -13 -11 7 -15 -4 0 6 6 22 20 -17 -6 -13 
-14 -14 -21 -2 10 1 11 -3 13 9 11 19 14 4 -4 -14 0 -12 -18 -23 4 -20 -18 18 17 -15 19 
-21 16 3 16 11 5 -23 -22 15 3 12 17 20 9 5 21 21 -13 0 -15 18 9 19 17 -12 -18 -6 
2 -19 -2 18 10 8 5 0 0 21 0 -3 -24 -27 -9 -12 20 1 11 -20 4 24 10 -11 -17 3 0 
-1 -12 22 -24 -21 -22 7 -24 17 15 11 -20 24 13 -21 -23 3 -4 -2 -18 22 -7 -5 10 -17 -1 17 
11 16 19 9 -12 5 23 20 2 15 15 22 9 -3 -2 -14 7 3 -20 -6 23 -8 17 -22 6 -5 19 
-12 1 1 -14 9 12 9 5 16 -1 -16 5 -18 -17 -19 7 -13 2 0 -13 21 22 0 17 7 14 -3 
1 -13 24 -11 -7 -10 -17 21 -23 24 -16 -6 -13 -10 -18 24 4 -8 15 -23 -7 -3 -3 1 -17 -21 -18 
-23 0 -9 -13 21 3 -18 -16 13 -7 21 -9 10 -21 8 -7 10 -7 18 26 -9 25 10 -22 3 -15 2 
4 11 -2 12 1 3 21 2 4 -23 -16 8 -16 -17 7 10 9 -5 -8 5 -16 -13 6 -17 -13 -10 16 
16 5 14 23 7 -21 -13 -4 -8 9 -2 -23 -12 -14 -10 23 8 -4 6 0 -19 -22 -2 14 -12 -20 -9 
-7 -16 12 -9 23 13 7 16 -14 -11 16 -19 -2 -1 1 -1 1 6 -11 -22 -11 1 4 -20 -17 -11 14 
9 17 8 17 6 -23 -6 -9 -19 -3 9 25 -21 7 10 0 2 -2 9 -10 12 -13 -22 17 18 -15 -22 
