18 -14 -18 -15 21 17 -18 22 -8 -22 -6 -1 -13 14 21 11 -17 21 1 15 24 -1 -10 9 -12 -19 12 
15 9 -19 -6 -6 -11 -4 19 -21 0 13 5 20 2 -19 -16 -1 0 6 -1 -10 -18 10 1 -12 -15 -7 
0 24 22 -3 16 24 0 -22 18 -5 -21 -3 11 -5 2 -11 -18 -18 11 20 0 -11 -8 3 -12 -17 -18 
-19 -12 18 12 -2 0 -2 -13 -3 -1 -11 -6 -13 3 -10 -10 6 0 5 18 -18 -11 23 16 -20 14 1 
-6 -17 11 -12 14 -10 -19 11 0 8 -5 1 -1 9 -1 -7 15 -15 23 10 21 -9 11 0 14 -8 5 
-13 14 -5 -15 17 -21 9 0 -4 23 19 16 -20 22 -1 -7 7 -1 -14 1 -1 -17 -23 13 13 -8 12 
5 -1 3 22 -15 22 18 -22 -23 -21 2 3 -20 -24 -15 -9 -15 22 13 18 15 -6 17 19 -5 -11 -4 
0 -20 -11 21 10 -16 -12 -3 1 19 5 19 19 10 4 4 13 0 -12 17 10 -7 -16 4 12 22 -5 
-23 11 4 -20 -21 20 17 -11 -12 19 -2 22 -3 -8 -20 16 11 -9 -2 -9 20 -2 18 -5 4 9 0 
-11 -5 1 -10 2 23 -15 -1 -1 11 -20 8 -4 24 18 -3 21 0 -4 2 -1 19 0 -8 -22 17 -6 
-7 -5 -3 -22 -19 5 -11 1 -21 -4 8 -20 -13 -8 0 22 11 0 15 -23 2 20 -14 17 -1 -14 15 
-4 10 -19 18 1 17 10 5 17 21 15 -22 6 -14 -12 -11 8 -15 -4 0 6 6 22 20 -16 -5 -12 
-15 -15 -22 -3 9 0 11 -4 11 7 9 18 13 3 -6 -15 -1 -13 -20 -23 4 -20 -17 16 17 -16 18 
-21 16 3 16 10 6 -23 -22 15 3 12 18 20 9 5 21 21 -13 0 -14 18 9 19 17 -12 -18 -6 
1 -18 -2 17 10 7 6 0 0 21 0 -4 -23 -25 -8 -11 20 1 9 -20 2 23 11 -11 -17 2 0 
-1 -12 21 -23 -20 -23 7 -24 16 15 11 -20 24 14 -21 -23 3 -5 -2 -18 21 -8 -5 10 -17 -1 17 
11 16 19 9 -12 6 24 20 3 15 15 23 10 -3 -1 -14 7 3 -19 -5 23 -7 18 -21 6 -4 20 
-12 2 2 -13 8 13 10 6 18 0 -13 7 -16 -15 -16 7 -11 5 0 -11 23 23 0 19 9 15 -1 
1 -13 23 -11 -7 -10 -17 21 -24 24 -17 -6 -13 -10 -18 24 4 -8 15 -24 -8 -3 -3 0 -17 -21 -18 
-22 0 -9 -13 22 4 -18 -15 12 -7 19 -11 9 -23 7 -7 10 -8 18 24 -10 23 7 -23 3 -14 2 
4 11 -3 11 0 2 20 2 4 -23 -17 7 -17 -18 6 10 8 -5 -8 4 -16 -13 5 -17 -14 -11 15 
16 5 14 23 7 -21 -12 -4 -8 8 -3 -24 -13 -14 -10 23 8 -4 6 0 -19 -22 -1 14 -13 -20 -9 
-7 -16 12 -10 22 12 7 16 -14 -12 16 -20 -2 -1 1 -1 0 6 -11 -21 -11 1 5 -20 -17 -11 14 
10 16 8 15 4 -23 -7 -10 -19 -3 8 25 -22 7 9 0 2 -2 9 -10 11 -14 -21 18 17 -15 -23 
